Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)"
,Aglio Olio,,,Aloo Gobi,,,Assam Pedas,,,Ayam Penyet,,,Bahn Mi,,,Bak Kut Teh,,,Ban Mian,,,Beef Kway Teow,,,Beef Noodle Soup,,,Braised Duck Noodle,,,Butter Chicken,,,Carbonara,,,Century Egg Porridge,,,Cereal Prawn,,,Char Kway Teow,,,Char Siu Rice,,,Chee Cheong Fun,,,Chicken Kebab,,,Chicken Pot Pie,,,Chicken Rice,,,Chicken Tikka Masala,,,Chicken Wings,,,Chili Con Carne,,,Chili Crab,,,Claypot Rice,,,Crab Bee Hoon,,,Curry Udon,,,Donburi,,,Drunken Prawn,,,Duck Rice,,,Empanadas,,,Falafel,,,Fish and Chips,,,Fish Head Curry,,,Fish Soup,,,Fishball Noodle,,,Fried Radish Cake,,,Frog Porridge,,,Hainanese Curry Rice,,,Hokkien Mee,,,Kung Pao Chicken,,,Kway Chap,,,Laksa,,,Lamb Kofta,,,Lontong,,,Lotus Root Soup,,,Masala Dosa,,,Mee Goreng,,,Mee Rebus,,,Mee Siam,,,Mee Soto,,,Minced Meat Noodle,,,Murtabak,,,Nasi Briyani,,,Nasi Goreng,,,Nasi Lemak,,,Nasi Padang,,,Oxtail Soup,,,Oyster Omelette,,,Pad Thai,,,Pao Fan,,,Pig Organ Soup,,,Pineapple Fried Rice,,,Prawn Noodles,,,Prawn Paste Chicken,,,Roti John,,,Roti Prata,,,Sambal Stingray,,,Satay,,,Satay Bee Hoon,,,Sayur Lodeh,,,Shepherd's Pie,,,Shredded Chicken Noodle,,,Shrimp Paste Chicken,,,Sliced Fish Soup,,,Soto Ayam,,,Soup Kambing,,,Spanish Paella,,,Takoyaki,,,Tandoori Chicken,,,Teochew Braised Duck,,,Teochew Porridge,,,Thai Basil Chicken,,,Thunder Tea Rice,,,Tom Yum Goong,,,Tom Yum Soup,,,Tonkatsu ,,,Tonkatsu Ramen,,,Vegetarian Bee Hoon,,,Vietnamese Pho,,,Wanton Mee,
zucchinis,646.0,646.0,baking potatoes,170.09713875,170.09713875,,,,,,,,,,,,,,,,rice noodles,200.0,200.0,crushed tomatoes,396.89332375000004,396.89332375000004,duck,282.5,282.5,drumsticks,326.6666666666667,326.6666666666667,shrimp,113.3980925,113.3980925,,,,,,,rice noodles,171.0,226.796185,pork loin,340.0,340.0,,,,skinless chicken breasts,272.0,272.0,chicken breast,226.0,226.0,low-sodium chicken broth,210.0,210.0,chicken,377.9936416666667,377.9936416666667,chile peppers,78.75,78.75,bell peppers,205.0,205.0,chicken thighs,321.6666666666667,321.6666666666667,,,,,,,chicken broth,360.0,360.0,cooked brown rice,97.5,97.5,,,,chicken broth,180.0,180.0,Flour,117.1875,117.1875,chicken wings,226.796185,226.796185,barramundi,218.0,218.0,broccoli,202.66666666666666,202.66666666666666,low-sodium chicken broth,330.0,360.0,,,,eggs,64.5,64.5,,,,,,,,,,chicken thighs,226.796185,226.796185,,,,Coconut cream,146.66666666666666,146.66666666666666,lamb mince,162.5,162.5,,,,,,,potatoes,184.5,184.5,,,,,,,,,,,,,broth,340.5,340.5,,,,,,,boneless skinless chicken breast,226.796185,226.796185,cucumbers,150.5,150.5,,,,Oxtail,500.0,500.0,eggs,50.166666666666664,50.166666666666664,cooked jasmine rice,404.0,404.0,,,,rendered duck fat,43.92857142857143,43.92857142857143,cooked jasmine rice,242.4,242.4,fish stock,328.27780373039246,328.27780373039246,stock,126.80258513191126,360.0,,,,,,,,,,broccoli,226.796185,226.796185,,,,,,,lamb cutlets,340.1942775,340.1942775,chicken thighs,298.0,298.0,chicken drumettes,340.1942775,340.1942775,low-sodium chicken broth,360.0,360.0,,,,,,,chicken stock,300.0,300.0,,,,chickens,481.94189312500004,481.94189312500004,,,,,,,broth,170.25,170.25,,,,fish stock,369.3125291966915,369.3125291966915,fish stock,369.3125291966915,369.3125291966915,chicken breast,170.09713875,170.09713875,,,,,,,beef stock,480.0,480.0,,,
zucchini,170.09713875,170.09713875,collard greens,113.3980925,113.3980925,,,,,,,,,,,,,,,,bean sprouts,166.66666666666666,166.66666666666666,Beef Shank,226.796185,226.796185,chicken broth,200.0,200.0,tomatoes,264.5955491666667,264.5955491666667,creme fraiche,112.0,112.0,,,,,,,shallots,59.111111111111114,59.111111111111114,chicken thighs,337.75,337.75,,,,"skinless, boneless chicken breast halves",226.796185,226.796185,yukon gold potatoes,184.5,184.5,Chicken Thighs,193.0,193.0,chicken breasts,272.0,272.0,buttermilk,61.25,61.25,Black Beans,121.25,121.25,pork butt,302.39491333333336,302.39491333333336,,,,,,,butternut squash,151.19745666666668,151.19745666666668,"boneless, skinless chicken breast",56.69904625,56.69904625,,,,stock,180.0,180.0,empanada shells,112.0,112.0,Chickpeas,224.0,224.0,lard,216.62108293368172,216.62108293368172,mackerel,170.09713875,170.09713875,shrimp stock,310.6666666666667,310.6666666666667,,,,asparagus,56.625,56.625,,,,,,,,,,"jasmine rice, cooked",195.0,195.0,,,,stock,126.80258513191126,126.80258513191126,plain whole-milk yogurt,113.3980925,113.3980925,,,,,,,Tomatoes,153.75,153.75,,,,,,,,,,,,,chicken broth,272.34375000000006,272.34375000000006,,,,,,,cooked rice,158.0,158.0,spinach,85.0,85.0,,,,water,189.2705892,394.31372749999997,broccoli,29.166666666666668,29.166666666666668,beef broth,240.0,240.0,,,,kosher salt,16.642857142857142,16.642857142857142,long-grain rice,161.875,161.875,chicken thighs,298.0,298.0,tofu,108.0,108.0,,,,,,,,,,avocados,201.0,201.0,,,,,,,broth,264.5955491666667,264.5955491666667,"skinless, boneless chicken breast halves",272.0,272.0,red snapper,283.49523125,283.49523125,shrimp stock,310.6666666666667,310.6666666666667,,,,,,,broth,197.89128156203694,197.89128156203694,,,,chicken,368.543800625,368.543800625,,,,,,,shrimp,170.09713875,170.09713875,,,,stock,360.0,360.0,stock,360.0,360.0,pork,117.0,117.0,,,,,,,beef broth,240.0,240.0,,,
broccoli floret,113.3980925,113.3980925,potato,92.25,92.25,,,,,,,,,,,,,,,,slices ginger,80.0,80.0,beef chuck,226.796185,226.796185,dried apricots,21.666666666666668,21.666666666666668,chicken thighs,226.796185,289.5,Smoked Bacon,100.0,100.0,,,,,,,chicken thigh,28.349523125,28.349523125,cooked jasmine rice,200.0,200.0,,,,mangoes,210.0,210.0,low-sodium chicken stock,180.0,180.0,low sodium chicken broth,180.0,180.0,skinless chicken breasts,170.09713875,170.09713875,mushrooms,56.69904625,56.69904625,Vegetarian Baked Beans,119.06250000000001,119.06250000000001,fish,250.0,250.0,,,,,,,"skinless, boneless chicken breast halves",136.0,136.0,reduced-sodium chicken broth,45.0,45.0,,,,salmon,170.09713875,170.09713875,crab meat,90.718474,90.718474,canola oil,218.0,218.0,sweet potatoes,198.44666187500002,198.44666187500002,yukon gold potatoes,113.3980925,113.3980925,canned chicken broth,249.0,249.0,,,,avocado,50.25,50.25,,,,,,,,,,meat,141.747615625,226.796185,,,,ginger,120.0,120.0,Greek yogurt,72.0,72.0,,,,,,,Sweet potatoes,130.0,130.0,,,,,,,,,,,,,low-sodium chicken broth,240.0,240.0,,,,,,,cooked jasmine rice,123.75,200.0,jasmine rice,75.0,75.0,,,,beef,170.0,170.0,button mushrooms,20.833333333333332,20.833333333333332,unsalted chicken stock,226.796185,226.796185,,,,pork,8.357142857142858,8.357142857142858,English cucumbers,150.5,150.5,pork spare ribs,216.0,216.0,chicken,100.0,100.0,,,,,,,,,,raw shrimp,166.66666666666666,166.66666666666666,,,,,,,potato,225.0,225.0,pork spare ribs,216.0,216.0,low-sodium chicken stock,240.0,240.0,beef broth,240.0,240.0,,,,,,,chicken thighs,193.0,193.0,,,,chicken wingettes,226.796185,226.796185,,,,,,,steamed rice,158.0,158.0,,,,lemon grass,50.0,50.0,chicken broth,240.0,240.0,boneless pork loin,113.3980925,113.3980925,,,,,,,chicken stock,192.0,304.326204316587,,,
Spaghetti,100.0,100.0,potatoes,75.0,213.0,,,,,,,,,,,,,,,,chives,33.333333333333336,33.333333333333336,chuck steak,200.0,200.0,red wine,19.599999999999998,19.599999999999998,chicken breasts,198.44666187500002,198.44666187500002,rigatoni,85.048569375,85.048569375,,,,,,,pork belly,28.349523125,28.349523125,pork belly,170.09713875,170.09713875,,,,zucchinis,196.0,196.0,chicken thighs,170.09713875,170.09713875,chicken thighs,170.09713875,170.09713875,"boneless, skinless chicken breasts",151.19745666666668,151.19745666666668,tequila,55.9999999996845,55.9999999996845,ground chuck,113.3980925,113.3980925,crab,166.66666666666666,250.0,,,,,,,kabocha squash,113.3980925,113.3980925,eggs,43.0,43.0,,,,Duck,151.19745666666668,151.19745666666668,black beans,88.0,88.0,can chickpeas,212.6214234375,212.6214234375,shoestring fries,198.44666187500002,198.44666187500002,firm tofu,106.31071171875,106.31071171875,beef broth,240.0,240.0,,,,noodles,40.0,40.0,,,,,,,,,,catfish,113.3980925,113.3980925,,,,tofu,108.0,108.0,minced lamb,71.42857142857143,71.42857142857143,,,,,,,Onion,110.0,110.0,,,,,,,,,,,,,beef chuck,226.796185,226.796185,,,,,,,water,118.29411825,118.29411825,chicken legs,57.333333333333336,57.333333333333336,,,,steak,137.5,137.5,basmati rice,11.666666666666666,11.666666666666666,vegetable broth,113.5,113.5,,,,,,,Chicken breast,150.0,150.0,tomatoes,184.5,184.5,monkfish,83.33333333333333,83.33333333333333,,,,,,,,,,pink grapefruits,123.0,123.0,,,,,,,lamb shanks,198.44666187500002,198.44666187500002,chicken broth,140.0,151.19745666666668,spaghetti,226.796185,226.796185,chicken,226.796185,226.796185,,,,,,,tenderloin medallions,177.0,177.0,,,,drumettes,226.796185,226.796185,,,,,,,chicken breasts,141.747615625,141.747615625,,,,fresh ginger,30.0,30.0,water,236.5882365,236.5882365,yellow onion,113.3980925,113.3980925,,,,,,,chicken breasts,136.0,136.0,,,
pasta,45.359237,75.59872833333334,water,75.0,75.0,,,,,,,,,,,,,,,,oyster sauce,9.0,9.0,Bok Choy,171.0,171.0,garlic,16.666666666666668,16.666666666666668,skinless chicken thighs,151.19745666666668,151.19745666666668,penne,75.0,75.0,,,,,,,bean sprouts,26.0,26.0,green beans,50.0,50.0,,,,boneless skinless chicken breasts,170.09713875,272.0,chicken breasts,151.19745666666668,151.19745666666668,"boneless, skinless chicken breast",170.09713875,170.09713875,skinless chicken thighs,151.19745666666668,226.796185,all-purpose flour,46.875,46.875,beef chuck,113.3980925,151.19745666666668,potatoes,166.66666666666666,226.796185,,,,,,,kale,56.69904625,56.69904625,spinach,42.5242846875,42.5242846875,,,,orange juice,131.0293379696416,131.0293379696416,shrimp,85.048569375,85.048569375,coleslaw,191.0,191.0,halibut,170.09713875,170.09713875,ground chicken,75.59872833333334,75.59872833333334,low sodium chicken stock,240.0,240.0,,,,mint leaves,22.800000000385474,22.800000000385474,,,,,,,,,,chiles,112.5,112.5,,,,shrimp,75.59872833333334,75.59872833333334,pitta bread,64.0,64.0,,,,,,,Urad,103.5,103.5,,,,,,,,,,,,,Coconut milk,226.0,226.0,,,,,,,zucchini,98.0,98.0,hard-boiled eggs,30.0,30.0,,,,oxtails,113.3980925,151.19745666666668,bean sprouts,10.833333333333334,10.833333333333334,chicken breast,113.3980925,113.3980925,,,,,,,Rice,130.0,130.0,cucumbers,120.4,120.4,mussels,83.33333333333333,83.33333333333333,,,,,,,,,,boneless pork loin,113.3980925,113.3980925,,,,,,,lobster tails,170.09713875,170.09713875,skinless chicken breast,136.0,136.0,white beans,212.6214234375,212.6214234375,chicken stock,192.0,192.0,,,,,,,chicken,170.09713875,170.09713875,,,,skinless boneless chicken breast,212.6214234375,212.6214234375,,,,,,,"skinless, boneless chicken breast halves",136.0,136.0,,,,prawns,24.0,210.0,chicken stock,160.0,160.0,pork chops,99.5,99.5,,,,,,,beef sirloin,113.3980925,113.3980925,,,
Pasta,35.0,35.0,cauliflower,53.5,147.0,,,,,,,,,,,,,,,,soya sauce,8.0,8.0,beef bones,166.66666666666666,166.66666666666666,thyme sprigs,4.0,4.0,baby potatoes,141.747615625,141.747615625,potato,71.42857142857143,71.42857142857143,,,,,,,prawns,15.0,15.0,prawns,33.333333333333336,33.333333333333336,,,,shrimp,151.19745666666668,151.19745666666668,cream of potato soup,141.747615625,141.747615625,steamed rice,158.0,158.0,chicken breast,136.0,136.0,butter,42.599999999999994,42.599999999999994,ground chicken,113.3980925,113.3980925,mangos,144.0,144.0,,,,,,,limes,50.25,50.25,onion,27.5,27.5,,,,hog casings,127.33333333333333,127.33333333333333,pizza dough,77.96118859375001,77.96118859375001,chicken breasts,141.747615625,141.747615625,avocados,150.75,150.75,bok choy,64.12499999999993,64.12499999999993,chicken,226.796185,226.796185,,,,Salad Dressing,21.133764188651874,21.133764188651874,,,,,,,,,,zucchini,98.0,98.0,,,,chicken broth,68.57142857142857,68.57142857142857,cucumber,60.0,60.0,,,,,,,Milk,61.0,61.0,,,,,,,,,,,,,oyster,186.0,186.0,,,,,,,basmati rice,92.5,92.5,coconut milk,23.541666666666668,59.70288383294154,,,,boneless chuck roast,113.3980925,113.3980925,water,10.0,10.0,"boneless, skinless chicken breasts",113.3980925,113.3980925,,,,,,,"boneless, skinless chicken breasts",113.3980925,113.3980925,straw mushrooms,117.5,117.5,coconut cream,67.628045403686,67.628045403686,,,,,,,,,,boneless skinless chicken breasts,113.3980925,113.3980925,,,,,,,sweet potato,133.0,133.0,milk,122.0,122.0,chicken broth,151.19745666666668,151.19745666666668,red snapper,188.99682083333335,188.99682083333335,,,,,,,plum tomatoes,165.3722182291667,165.3722182291667,,,,chicken thigh,200.0,200.0,,,,,,,chicken thighs,128.66666666666666,128.66666666666666,,,,chillies,22.5,22.5,vegetable stock,113.5,113.5,boneless pork,85.0,85.0,,,,,,,zucchini,88.5,88.5,,,
parmesan,33.045833333333334,33.045833333333334,tomatoes,51.25,51.3835106640625,,,,,,,,,,,,,,,,SEASONING,5.416361111113176,5.416361111113176,v8,163.00975796875,163.00975796875,potatoes,0.0,0.0,chicken stock,120.0,160.0,Spaghetti,63.7875,150.0,,,,,,,peanut oil,13.5,13.5,pork,33.333333333333336,33.333333333333336,,,,"Boneless, Skinless Chicken Breasts",130.5,130.5,white onions,140.0,140.0,pineapple,150.83333333333334,150.83333333333334,chicken thighs,113.3980925,113.3980925,All-purpose flour,31.25,31.25,black beans,110.0,110.0,broth,85.125,85.125,,,,,,,unsweetened coconut milk,37.666666666666664,37.666666666666664,low-sodium soy sauce,7.1,7.1,,,,eggplant,113.3980925,113.3980925,Ice Water,73.93382390625,73.93382390625,cans chickpeas,141.747615625,141.747615625,vegetable broth,141.875,141.875,chiles,56.25,56.25,chicken stock,192.0,192.0,,,,canola oil,2.25,2.25,,,,,,,,,,chicken breast,85.048569375,113.3980925,,,,coconut cream,67.628045403686,67.628045403686,hummus,50.0,50.0,,,,,,,onion,55.0,55.0,,,,,,,,,,,,,lamb stew meat,151.19745666666668,151.19745666666668,,,,,,,red onion,80.0,80.0,red chillies,22.5,22.5,,,,vegetable soup,100.0,100.0,oyster sauce,6.0,6.0,shiitake mushroom,113.3980925,113.3980925,,,,,,,cooked rice,105.33333333333333,131.66666666666666,tofu,108.0,108.0,tomatoes,66.66666666666667,123.0,,,,,,,,,,flank steak,113.3980925,113.3980925,,,,,,,russet potatoes,122.47777777777776,226.796185,unsalted chicken stock,120.0,120.0,half-and-half,121.0,121.0,low sodium chicken broth,180.0,180.0,,,,,,,halibut steaks,151.19745666666668,151.19745666666668,,,,skinless chicken thighs,170.09713875,207.8965029166667,,,,,,,bamboo shoots,113.3980925,113.3980925,,,,green onions,6.9444444444444455,27.777777777777782,chicken breast,113.3980925,113.3980925,dashi,78.78667289529419,78.78667289529419,,,,,,,snap peas,49.0,49.0,,,
spaghetti,25.0,113.3980925,tomato,30.75,38.4375,,,,,,,,,,,,,,,,garlic,5.0,5.0,Beef Sirloin Steak,151.19745666666668,151.19745666666668,,,,chicken,113.3980925,600.0,tagliatelle,56.69904625,56.69904625,,,,,,,red chili,11.25,11.25,roasted cashews,31.25,31.25,,,,skinless chicken thighs,124.73790445362121,226.796185,frozen vegetables,113.3980925,113.3980925,"boneless, skinless chicken breasts",136.0,136.0,shrimp,113.3980925,113.3980925,orange juice,31.0,31.0,passata,87.5,87.5,meat,75.59872833333334,75.59872833333334,,,,,,,canned vegetable broth,36.666666666666664,36.666666666666664,vegetable oil,5.25,5.25,,,,skinless chicken thighs,107.25,107.25,pizza crust,73.708760125,73.708760125,red bell peppers,119.0,119.0,eggplant,137.0,137.0,coconut milk,47.76230706635323,95.679640546875,red snapper,188.99682083333335,188.99682083333335,,,,radishes,2.0,2.0,,,,,,,,,,chicken,85.048569375,85.048569375,,,,noodles,58.333333333333336,58.333333333333336,beetroot,50.0,50.0,,,,,,,Capsicum,46.0,46.0,,,,,,,,,,,,,lean beef stew meat,129.59782,129.59782,,,,,,,cucumber,75.25,75.25,prawns,18.0,18.0,,,,whole tomatoes,79.37866475000001,79.37866475000001,Sesame Oil,1.5,1.5,fish,113.3980925,113.3980925,,,,,,,cooked white rice,93.0,93.0,red chili peppers,90.0,90.0,noodles,58.333333333333336,58.333333333333336,,,,,,,,,,shrimp,113.3980925,113.3980925,,,,,,,ground beef sirloin,113.3980925,113.3980925,egg noodles,113.3980925,113.3980925,potatoes,113.3980925,113.3980925,mahi mahi,170.09713875,170.09713875,,,,,,,Pea pod,150.0,150.0,,,,chicken thighs,128.66666666666666,579.0,,,,,,,cooked turkey meat,105.0,105.0,,,,red curry paste,6.0,6.0,shallots,59.111111111111114,59.111111111111114,mozzarella,56.69904625,56.69904625,,,,,,,chillies,45.0,45.0,,,
oil-cured olives,22.400000000378668,22.400000000378668,red chiles,22.5,22.5,,,,,,,,,,,,,,,,canola oil,4.666666666666667,28.0,Beef Broth,150.0,150.0,,,,boneless skinless chicken breast,113.3980925,113.3980925,"boneless, skinless chicken breast",56.69904625,56.69904625,,,,,,,egg,10.75,10.75,eggs,28.666666666666668,28.666666666666668,,,,"boneless, skinless chicken breasts",113.3980925,226.796185,"boneless, skinless chicken breasts",113.3980925,113.3980925,chicken breast,136.0,136.0,can diced tomato,106.31071171875,106.31071171875,grapefruit juice,30.875,30.875,chicken broth,60.0,60.0,spaghetti,75.59872833333334,75.59872833333334,,,,,,,carrots,30.5,30.5,brown sugar,2.265624999961695,2.265624999961695,,,,Coconut milk,94.16666666666666,94.16666666666666,corn kernels,61.875,61.875,sunflower oil,115.1790148281527,115.1790148281527,fish,116.0,150.0,chicken breast meat,45.359237,45.359237,low sodium chicken broth,180.0,180.0,,,,fresh coriander,1.0,1.0,,,,,,,,,,broccoli florets,71.0,71.0,,,,vegetable stock,42.5625,42.5625,lamb shoulder,44.44444444444444,44.44444444444444,,,,,,,Green chillies,45.0,45.0,,,,,,,,,,,,,cream of chicken soup,122.84793354166668,122.84793354166668,,,,,,,bacon,58.0,58.0,rice,16.25,16.25,,,,can diced tomatoes,75.59872833333334,75.59872833333334,garlic,1.0,1.0,beef sirloin,113.3980925,113.3980925,,,,,,,Jasmine Rice,92.5,92.5,cherry tomatoes,85.0,85.0,okra,50.0,50.0,,,,,,,,,,tofu,100.0,100.0,,,,,,,roast beef,113.3980925,113.3980925,chicken tenders,113.3980925,113.3980925,noodles,113.3980925,113.3980925,oysters,165.33333333333334,165.33333333333334,,,,,,,Vine tomatoes,123.0,123.0,,,,Chicken Thighs,115.8,115.8,,,,,,,bean sprouts,99.22333093750001,99.22333093750001,,,,fish sauce,4.5,4.500000000304326,coconut milk,56.5,56.5,bread crumbs,54.0,54.0,,,,,,,filet mignon,44.25,44.25,,,
