,1.55,1.58,,0.87,1.05,,6.41,6.41,,3.59,3.92,,0.58,0.67,,4.11,4.22,,4.1,4.7,,3.53,3.58,,2.55,2.66,,4.38,4.4,,4.18,4.27,,1.48,1.73,,1.09,1.09,,2.53,2.54,,2.53,3.03,,2.27,2.27,,1.29,1.33,,2.44,2.52,,3.29,3.44,,0.44,0.44,,3.18,3.2,,1.43,1.55,,4.8,4.87,,1.55,1.58,,2.01,2.16,,2.45,2.67,,0.92,0.97,,6.22,6.29,,0.32,0.32,,2.97,3.76,,3,3.2,,0.82,0.82,,1.06,1.08,,9.15,9.32,,2.72,2.89,,6.23,6.89,,5.1,5.13,,4.65,4.82,,0.84,1.6,,3.05,3.3,,2.43,2.45
Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)",Ingredient Name,"Minimum Weight (g, if present)","Maximum Weight (g, if present)"
,Aglio Olio,,,Aloo Gobi,,,Beef Noodle Soup,,,Butter Chicken,,,Char Kway Teow,,,Char Siu Rice,,,Chicken Kebab,,,Chicken Pot Pie,,,Chicken Rice,,,Chicken Tikka Masala,,,Chili Con Carne,,,Chili Crab,,,Donburi,,,Duck Rice,,,Empanadas,,,Falafel,,,Fish and Chips,,,Fish Head Curry,,,Fish Soup,,,Fried Radish Cake,,,Kung Pao Chicken,,,Laksa,,,Lamb Kofta,,,Masala Dosa,,,Minced Meat Noodle,,,Nasi Goreng,,,Nasi Lemak,,,Oxtail Soup,,,Oyster Omelette,,,Pineapple Fried Rice,,,Prawn Noodles,,,Prawn Paste Chicken,,,Satay,,,Shepherd's Pie,,,Shredded Chicken Noodle,,,Spanish Paella,,,Tandoori Chicken,,,Thai Basil Chicken,,,Tom Yum Goong,,,Tonkatsu,,,Vietnamese Pho,
Zucchini,170.097139,170.097139,Potatoes,170.097139,170.097139,Beef: Other,226.796185,226.796185,Poultry Free Range: whole carcass/with bone,326.6666667,326.6666667,Noodles,200,200,Pig: pork,340,340,Poultry Free Range: boneless meat,226.796185,272,Poultry Free Range: boneless meat,226,226,Poultry Free Range: boneless meat,210,210,Poultry Free Range: boneless meat,377.9936417,377.9936417,Peppers (bell),205,205,Molluscs/crustaceans: crab,166.6666667,250,Brown rice,97.5,97.5,Stock,180,180,Puff pastry (butter),117.1875,117.1875,Chickpeas,224,224,Cod,218,218,Fish: Other,170.097139,170.097139,Stock,330,360,Egg,64.5,64.5,Poultry: boneless,226.796185,226.796185,Milk: nut milk,146.6666667,146.6666667,Lamb: ground minced meat,162.5,162.5,Potatoes,184.5,184.5,Stock,340.5,340.5,Poultry: boneless,226.796185,226.796185,Rice,75,75,Beef: Offal and variety meat,500,500,Egg,50.16666667,50.16666667,Rice,242.4,242.4,Stock,328.2778037,328.2778037,Poultry: comminuted,100,100,Poultry Free Range: boneless meat,113.398093,113.398093,Lamb: ground minced meat,340.194278,340.194278,Poultry: boneless,298,298,Stock,300,300,Poultry: boneless,481.9418931,481.9418931,Stock,170.25,170.25,Stock,369.3125292,369.3125292,Poultry Free Range: boneless meat,170.097139,170.097139,Stock,480,480
Broccoli,113.398093,113.398093,Collard greens,113.398093,113.398093,Vegetable: Other,171,171,Tomatoes,264.5955492,264.5955492,Pulses/Legumes: Other,166.6666667,166.6666667,Rice,200,200,Tropical Fruits,210,210,Potatoes,184.5,184.5,Rice,158,158,Tinned tomatoes,106.310712,106.310712,Beans,121.25,121.25,Onions,62.5,62.5,Poultry Free Range: boneless meat,56.6990463,56.6990463,Poultry Free Range: boneless meat,151.1974567,151.1974567,Beans,88,88,Vegetable Oils,218,218,Potatoes,198.4466619,198.4466619,Potatoes,113.398093,113.398093,Fish: Other,188.9968208,188.9968208,Radish,56.625,56.625,Rice,195,195,Stock,126.8025851,126.8025851,Yogurt and Fromage Frais (dairy),113.398093,113.398093,Tomatoes,153.75,153.75,Pig: pork,129.59782,129.59782,Rice,158,158,Poultry: boneless,57.33333333,57.33333333,Water,189.270589,394.3137275,Flour,29.16666667,29.16666667,Poultry: boneless,150,150,Pig: pork,216,216,Condiment: Other,31.875,31.875,Onions,55,55,Potatoes,225,225,Stock,140,151.1974567,Poultry: boneless,193,193,Tomatoes,94.49841042,94.49841042,Molluscs/crustaceans: shrimp,170.097139,170.097139,Herbs (fresh):other,50,50,Pig: pork,117,117,Poultry Free Range: boneless meat,136,136
Pasta,100,100,Water,75,75,Flour,125,125,Potatoes,141.747616,141.747616,Chives (fresh),33.33333333,33.33333333,Beans,50,50,Zucchini,196,196,Onions,140,140,Onions,113.398093,113.398093,Vegetable: Other,71.96969697,71.96969697,"Beef: Ground, minced meat",113.398093,113.398093,Tomatoes,56.6990463,56.6990463,Egg,43,43,Vegetable: Other,91,91,Salmon,49.5,113.1428571,Peppers (bell),119,119,Condiments: Emulsified Sauces,86.625,86.625,Tofu,106.310712,106.310712,Tofu,75.59872833,75.59872833,Water,50.25,50.25,Chilli peppers,112.5,112.5,Tofu,108,108,Bread,64,64,Onions,110,110,Noodles,79,79,Water,118.294118,118.294118,Egg,30,30,Stock,100,100,Molluscs/crustaceans: oysters,20.83333333,20.83333333,Molluscs/crustaceans: shrimp,56.6990463,113.398093,Molluscs/crustaceans: shrimp,81.6,81.6,Vegetable Oils,13.5,13.5,Purees/Spreads,36.5,36.5,Flour,86,86,Noodles,113.398093,113.398093,Potatoes,165.3722182,165.3722182,Stock,90,90,Rice,158,158,Molluscs/crustaceans: shrimp,24,210,Onions,113.398093,113.398093,Zucchini,88.5,88.5
Cheese: processed cheese,33.04583333,33.04583333,Cauliflower,53.5,147,Water,118.294118,118.294118,Water,78.8627455,78.8627455,Condiments: Non-emulsified Sauces,9,9,Egg,28.66666667,28.66666667,Rice,93,93,Vegetable: Other,113.398093,113.398093,Egg,36.8,36.8,Yogurt and Fromage Frais (dairy),61.25,61.25,Tinned tomatoes,87.5,87.5,"Cheese: unripened e.g, cottage cheese mozzarella",56.25,56.25,Spinach,42.5242847,42.5242847,Cucumber,70.8738078,70.8738078,Butter,42.6,42.6,Cucumber,100.3333333,100.3333333,Beer and Cider,85.0485694,85.0485694,Chilli peppers,56.25,56.25,Tomatoes,74.5,74.5,Garlic,22.8,22.8,Onions,71,71,Molluscs/crustaceans: other,75.59872833,75.59872833,Cucumber,60,60,Beans,103.5,103.5,Condiments: Emulsified Sauces,63.40129257,63.40129257,Onions,80,80,Milk: nut milk,23.54166667,59.70288383,Tomatoes,79.37866475,79.37866475,Water,10,10,Egg,56,56,Noodles,67.5,67.5,Molluscs/crustaceans: shrimp,11.11111111,11.11111111,Onions,35,35,Tinned tomatoes,76.1893434,76.1893434,Onions,60,60,Fish: Other,151.1974567,151.1974567,Cheese: processed cheese,67.5,67.5,Poultry Free Range: boneless meat,141.747616,141.747616,Chilli peppers,22.5,22.5,Stock,78.7866729,78.7866729,Chilli peppers,45,45
Olives,22.4,22.4,Tomatoes,51.25,51.3835107,Noodles,113.398093,113.398093,Milk: fresh cattle,40.66666667,40.66666667,Garlic,5,5,Vegetable Oils,8.75,31.55975452,Onions,82.75,103.4375,Milk: fresh cattle,91.5,91.5,Condiments: Non-emulsified Sauces,16,16,Rice,47.5,47.5,Chilli peppers,49.61166547,49.61166547,Bread,48.3333333,58,Onions,27.5,27.5,Tomatoes,62,62,Cheese: processed cheese,42.5242847,42.5242847,Beans,60,60,Milk: UHT,60.75,60.75,Milk: nut milk,47.76230707,95.6796405,Water,59.1470591,236.588237,Condiments: Non-emulsified Sauces,21.13376419,21.13376419,Bamboo Shoot,56.6990463,56.6990463,Noodles,58.33333333,58.33333333,Purees/Spreads,50,50,Milk: UHT,61,61,Water,59.1470591,59.1470591,Cucumber,75.25,75.25,Chilli peppers,22.5,22.5,Potatoes,71,71,Condiments: Emulsified Sauces,6,6,Tropical Fruits,45.25,476.25,Onions,14.77777778,29.55555556,Salt,2.431766667,2.431766667,Sugar,4.53125,4.53125,Vegetable: Other,66.14888729,66.14888729,Mushrooms,42.5242847,42.5242847,Pulses/Legumes: Other,150,150,Bread,62.5,62.5,,,,Onions,6.944444444,27.77777778,Bread,54,54,Onions,28.75,28.75
Vegetable Oils,13.5,13.5,Chilli peppers,22.5,22.5,Condiments: Non-emulsified Sauces,85,85,Celery,40,40,Vegetable Oils,4.666666667,28,Sugar,6.25,12.5,Juice,60.75,60.75,Puff pastry (butter),62.5,62.5,Water,14.7867648,236.588237,Onions,41.66666667,41.66666667,Beer and Cider,34.0194278,34.0194278,Egg,40,40,Condiments: Non-emulsified Sauces,7.1,7.1,Vinegar,59.5,59.5,Onions,37.79936417,66,Potatoes,56.6990463,56.6990463,Vegetable Oils,49.77777778,56,Cabbage,22.6796185,22.6796185,Noodles,56.6990463,75.59872833,Vegetable Oils,2.25,2.25,Peppers (bell),41,41,Chilli peppers,20.89285714,20.89285714,Beetroot,50,50,Onions,55,55,Vinegar,15.08950763,29.75,Egg,32.25,64.5,Onions,13.88888889,13.88888889,Onions,62.5,62.5,Vegetable Oils,1.5,1.5,Peppers (bell),41,41,Vegetable Oils,6.8,6.8,Sugar,2.1,2.1,Vegetable Oils,3.5,7,Wine,29.4,29.4,noodles,19,113.398093,Tomatoes,123,123,Potatoes,57.14285714,57.14285714,,,,Herbs (dried),6,6,Egg,50,100,Egg,21.5,21.5
Bread,9,9,Onions,17.5,17.5,Egg,43,43,Carrot,30.5,30.5,Wine,3.277777778,3.277777778,Condiments: Non-emulsified Sauces,4,16.2307309,Peppers (bell),59.5,119,Squash/Pumpkin,58,58,Chilli peppers,11.25,11.25,Chilli peppers,41,41,Wine,29.53075326,29.53075326,Lettuce,27.5,27.5,Vegetable Oils,5.25,5.25,Peppers (bell),59.5,59.5,Potatoes,37.5,37.5,Yogurt and Fromage Frais (dairy),49.33333333,49.33333333,flour,37.5,37.5,Basil (fresh),11.4,11.4,Spinach,56.6990463,56.6990463,Salt,2,2,Carrot,30.5,30.5,Onions,20.83333333,20.83333333,Tomatoes,37.5,37.5,Peppers (bell),46,46,Cabbage,10.5,10.5,Chilli peppers,22.5,22.5,Pulses/Legumes: Other,8.75,8.75,Wine,62.13326671,62.13326671,Garlic,1,1,Onions,40,40,Sugar,6.25,6.25,Pepper,0.497254167,0.497254167,Salt,2.314615665,2.314615665,Water,18.483456,236.588237,Egg,14.33333333,14.33333333,Molluscs/crustaceans: other,100,100,Yogurt and Fromage Frais (dairy),51.04166667,51.04166667,Bamboo Shoot,113.398093,113.398093,Condiment: Other,4.5,4.5,Flour,20.83333333,20.83333333,Condiment: Other,2.7,15.21631022
